,encoded,original,regenerated
11572,"[40 42 17 40 60 48 40 93 53 40 61 41 41 41 40 60 48 40 94 53 40 61 41 41
 41 43 53 40 89 41 41 23 40 61 53 40 55 89 55 41 41 40 42 60 48 40 42 93
 49 94 43 53 40 61 41 41 43 53 40 55 89 55 41 41]",{( \frac{1 + {x^{2}}}{1 + {y^{2}}} )^{t}} \leq {2^{| t |}} {( 1 + {( x - y )^{2}} )^{| t |}}, { ( \frac { 1 + { x ^ { 2 } } } { 1 + { y ^ { 2 } } } ) ^ { t } } \leq { 2 ^ { | t | } } { ( 1 + { ( x - y ) ^ { 2 } } ) ^ { | t | } }
11573,"[42 17 40 60 41 40 40 82 53 40 61 41 41 41 49 17 40 62 82 41 40 83 41 48
 17 40 61 41 40 82 83 41 43]",( \frac{1}{{m^{2}}} - \frac{3 m}{n} + \frac{2}{m n} ), ( \frac { 1 } { { m ^ { 2 } } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
11574,"[55 31 29 78 89 88 52 40 70 41 53 40 71 41 75 42 93 43 73 93 55 23 31 29
 78 89 88 52 40 70 41 53 40 71 41 55 75 42 93 43 55 73 93]",| \int\limits_{a}^{b} f ( x ) dx | \leq \int\limits_{a}^{b} | f ( x ) | dx, | \int \lim i t s _ { a } ^ { b } f ( x ) d x | \leq \int \lim i t s _ { a } ^ { b } | f ( x ) | d x
11575,"[17 40 60 41 40 40 83 53 40 61 41 41 41 23 17 40 60 41 40 83 49 60 41 49
 17 40 60 41 40 83 41]",\frac{1}{{n^{2}}} \leq \frac{1}{n - 1} - \frac{1}{n}, \frac { 1 } { { n ^ { 2 } } } \leq \frac { 1 } { n - 1 } - \frac { 1 } { n }
11576,"[ 29  52  40  83  35  10  41  42  93  52  40  83  41  56  94  52  40  83
  41  43  50 107  52  40  60  41  56 107  52  40  61  41]",\lim_{n \to \infty} ( x_{n} / y_{n} ) = L_{1} / L_{2}, \lim _ { n \to \infty } ( x _ { n } / y _ { n } ) = L _ { 1 } / L _ { 2 }
11577,"[17 40 62 93 48 94 41 40 95 41 50 42 17 40 96 49 60 41 40 40 93 53 40 61
 41 41 48 40 94 53 40 61 41 41 41 43]",\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} ), \frac { 3 x + y } { z } = ( \frac { A - 1 } { { x ^ { 2 } } + { y ^ { 2 } } } )
11578,"[17 40 62 93 48 94 41 40 95 41 50 42 17 40 96 49 60 41 40 40 93 53 40 61
 41 41 48 40 94 53 40 61 41 41 41 43]",\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} ), \frac { 3 x + y } { z } = ( \frac { A - 1 } { { x ^ { 2 } } + { y ^ { 2 } } } )
11579,[77 42 93 58 94 43 50 40 93 53 40 94 48 17 40 60 41 40 94 41 41 41],"h ( x , y ) = {x^{y + \frac{1}{y}}}"," h ( x , y ) = { x ^ { y + \frac { 1 } { y } } }"
11580,[40 42 60 48 93 43 53 40 87 41 41 24 60 48 87 93],{( 1 + x )^{r}} \geq 1 + r x, { ( 1 + x ) ^ { r } } \geq 1 + r x
11581,"[ 93  52  40  60  41  50  17  40  42  60  49  17  40  61  41  40  18  40
 109  49  60  41  41  43 109  41  40 107  41]",x_{1} = \frac{( 1 - \frac{2}{\sqrt{N - 1}} ) N}{L}, x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
11582,"[ 82  42  71  49  70  43  23  31  29  78  89  88  52  40  70  41  53  40
  71  41  75  42  93  43  73  93  23 108  42  71  49  70  43]",m ( b - a ) \leq \int\limits_{a}^{b} f ( x ) dx \leq M ( b - a ), m ( b - a ) \leq \int \lim i t s _ { a } ^ { b } f ( x ) d x \leq M ( b - a )
11583,[30 52 40 83 50 69 41 53 40 10 41 75 52 40 83 41 42 93 43],\sum_{n = 0}^{\infty} f_{n} ( x ), \sum _ { n = 0 } ^ { \infty } f _ { n } ( x )
11584,[29 52 40 93 35 72 41 75 42 93 43 50 75 42 72 43],\lim_{x \to c} f ( x ) = f ( c ), \lim _ { x \to c } f ( x ) = f ( c )
11585,"[17 40 60 41 40 40 83 53 40 61 41 41 41 23 17 40 60 41 40 83 49 60 41 49
 17 40 60 41 40 83 41]",\frac{1}{{n^{2}}} \leq \frac{1}{n - 1} - \frac{1}{n}, \frac { 1 } { { n ^ { 2 } } } \leq \frac { 1 } { n - 1 } - \frac { 1 } { n }
11586,[91 52 40 72 41 50 91 52 40 72 49 60 41 42 17 40 87 49 72 41 40 72 41 43],v_{c} = v_{c - 1} ( \frac{r - c}{c} ), v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
11587,"[ 93  52  40  60  41  50  17  40  42  60  49  17  40  61  41  40  18  40
 109  49  60  41  41  43 109  41  40 107  41]",x_{1} = \frac{( 1 - \frac{2}{\sqrt{N - 1}} ) N}{L}, x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
11588,"[40 42 93 48 60 43 53 40 83 48 60 41 41 50 42 93 48 60 43 40 42 93 48 60
 43 53 40 83 41 41]",{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}, { ( x + 1 ) ^ { n + 1 } } = ( x + 1 ) { ( x + 1 ) ^ { n } }
11589,"[30 52 40 83 50 60 41 53 40 10 41 40 42 17 40 30 52 40 78 50 60 41 53 40
 83 41 70 52 40 78 41 41 40 83 41 43 53 40 85 41 41 46 40 42 17 40 85 41
 40 85 49 60 41 43 53 40 85 41 41 30 52 40 83 50 60 41 53 40 10 41 40 70
 52 40 83 41 53 40 85 41 41]",\sum_{n = 1}^{\infty} {( \frac{\sum_{i = 1}^{n} a_{i}}{n} )^{p}} < {( \frac{p}{p - 1} )^{p}} \sum_{n = 1}^{\infty} {a_{n}^{p}}, \sum _ { n = 1 } ^ { \infty } { ( \frac { \sum _ { i = 1 } ^ { n } a _ { i } } { n } ) ^ { p } } < { ( \frac { p } { p - 1 } ) ^ { p } } \sum _ { n = 1 } ^ { \infty } { a _ { n } ^ { p } }
11590,"[30 52 40 83 50 60 41 53 40 10 41 40 42 17 40 30 52 40 78 50 60 41 53 40
 83 41 70 52 40 78 41 41 40 83 41 43 53 40 85 41 41 46 40 42 17 40 85 41
 40 85 49 60 41 43 53 40 85 41 41 30 52 40 83 50 60 41 53 40 10 41 40 70
 52 40 83 41 53 40 85 41 41]",\sum_{n = 1}^{\infty} {( \frac{\sum_{i = 1}^{n} a_{i}}{n} )^{p}} < {( \frac{p}{p - 1} )^{p}} \sum_{n = 1}^{\infty} {a_{n}^{p}}, \sum _ { n = 1 } ^ { \infty } { ( \frac { \sum _ { i = 1 } ^ { n } a _ { i } } { n } ) ^ { p } } < { ( \frac { p } { p - 1 } ) ^ { p } } \sum _ { n = 1 } ^ { \infty } { a _ { n } ^ { p } }
11591,"[ 82  42  71  49  70  43  23  31  29  78  89  88  52  40  70  41  53  40
  71  41  75  42  93  43  73  93  23 108  42  71  49  70  43]",m ( b - a ) \leq \int\limits_{a}^{b} f ( x ) dx \leq M ( b - a ), m ( b - a ) \leq \int \lim i t s _ { a } ^ { b } f ( x ) d x \leq M ( b - a )
11592,[25 53 40 62 41 94 50 17 40 60 41 40 63 41 42 25 62 94 48 62 25 94 43],\cos^{3} y = \frac{1}{4} ( \cos 3 y + 3 \cos y ), \cos ^ { 3 } y = \frac { 1 } { 4 } ( \cos 3 y + 3 \cos y )
11593,"[75 42 93 58 94 43 50 75 52 40 60 41 42 93 94 43 48 75 52 40 61 41 42 17
 40 93 41 40 94 41 43]","f ( x , y ) = f_{1} ( x y ) + f_{2} ( \frac{x}{y} )"," f ( x , y ) = f _ { 1 } ( x y ) + f _ { 2 } ( \frac { x } { y } )"
11594,"[42 17 40 60 48 40 93 53 40 61 41 41 41 40 60 48 40 94 53 40 61 41 41 41
 43 23 40 61 53 40 55 89 55 41 41 40 42 60 48 40 42 93 49 94 43 53 40 61
 41 41 43 53 40 55 89 55 41 41]",( \frac{1 + {x^{2}}}{1 + {y^{2}}} ) \leq {2^{| t |}} {( 1 + {( x - y )^{2}} )^{| t |}}, ( \frac { 1 + { x ^ { 2 } } } { 1 + { y ^ { 2 } } } ) \leq { 2 ^ { | t | } } { ( 1 + { ( x - y ) ^ { 2 } } ) ^ { | t | } }
11595,"[17 40 60 41 40 40 83 53 40 61 41 41 41 23 17 40 60 41 40 83 49 60 41 49
 17 40 60 41 40 83 41]",\frac{1}{{n^{2}}} \leq \frac{1}{n - 1} - \frac{1}{n}, \frac { 1 } { { n ^ { 2 } } } \leq \frac { 1 } { n - 1 } - \frac { 1 } { n }
11596,"[42 17 40 60 41 40 40 82 53 40 61 41 41 41 49 17 40 62 82 41 40 83 41 48
 17 40 61 41 40 82 83 41 43]",( \frac{1}{{m^{2}}} - \frac{3 m}{n} + \frac{2}{m n} ), ( \frac { 1 } { { m ^ { 2 } } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
11597,"[40 42 17 40 60 48 40 93 53 40 61 41 41 41 40 60 48 40 94 53 40 61 41 41
 41 43 53 40 89 41 41 23 40 61 53 40 55 89 55 41 41 40 42 60 48 40 42 93
 49 94 43 53 40 61 41 41 43 53 40 55 89 55 41 41]",{( \frac{1 + {x^{2}}}{1 + {y^{2}}} )^{t}} \leq {2^{| t |}} {( 1 + {( x - y )^{2}} )^{| t |}}, { ( \frac { 1 + { x ^ { 2 } } } { 1 + { y ^ { 2 } } } ) ^ { t } } \leq { 2 ^ { | t | } } { ( 1 + { ( x - y ) ^ { 2 } } ) ^ { | t | } }
11598,"[40 42 17 40 60 48 40 93 53 40 61 41 41 41 40 60 48 40 94 53 40 61 41 41
 41 43 53 40 89 41 41 23 40 61 53 40 55 89 55 41 41 40 42 60 48 40 42 93
 49 94 43 53 40 61 41 41 43 53 40 55 89 55 41 41]",{( \frac{1 + {x^{2}}}{1 + {y^{2}}} )^{t}} \leq {2^{| t |}} {( 1 + {( x - y )^{2}} )^{| t |}}, { ( \frac { 1 + { x ^ { 2 } } } { 1 + { y ^ { 2 } } } ) ^ { t } } \leq { 2 ^ { | t | } } { ( 1 + { ( x - y ) ^ { 2 } } ) ^ { | t | } }
11599,"[30 52 40 83 50 60 41 53 40 10 41 40 42 17 40 30 52 40 78 50 60 41 53 40
 83 41 70 52 40 78 41 41 40 83 41 43 53 40 85 41 41 46 40 42 17 40 85 41
 40 85 49 60 41 43 53 40 85 41 41 30 52 40 83 50 60 41 53 40 10 41 40 70
 52 40 83 41 53 40 85 41 41]",\sum_{n = 1}^{\infty} {( \frac{\sum_{i = 1}^{n} a_{i}}{n} )^{p}} < {( \frac{p}{p - 1} )^{p}} \sum_{n = 1}^{\infty} {a_{n}^{p}}, \sum _ { n = 1 } ^ { \infty } { ( \frac { \sum _ { i = 1 } ^ { n } a _ { i } } { n } ) ^ { p } } < { ( \frac { p } { p - 1 } ) ^ { p } } \sum _ { n = 1 } ^ { \infty } { a _ { n } ^ { p } }
11600,"[76 42 93 58 94 43 50 18 44 62 45 40 93 49 94 41 48 18 40 55 93 48 94 55
 41]","g ( x , y ) = \sqrt[3]{x - y} + \sqrt{| x + y |}"," g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }"
11601,"[30 52 40 83 50 60 41 53 40 10 41 42 71 52 40 83 41 49 71 52 40 83 48 60
 41 43]",\sum_{n = 1}^{\infty} ( b_{n} - b_{n + 1} ), \sum _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
11602,"[17 40 62 93 48 94 41 40 95 41 50 42 17 40 96 49 60 41 40 40 93 53 40 61
 41 41 48 40 94 53 40 61 41 41 41 43]",\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} ), \frac { 3 x + y } { z } = ( \frac { A - 1 } { { x ^ { 2 } } + { y ^ { 2 } } } )
11603,"[40 42 93 48 60 43 53 40 83 48 60 41 41 50 42 93 48 60 43 40 42 93 48 60
 43 53 40 83 41 41]",{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}, { ( x + 1 ) ^ { n + 1 } } = ( x + 1 ) { ( x + 1 ) ^ { n } }
11604,"[76 42 93 58 94 43 50 18 44 62 45 40 93 49 94 41 48 18 40 55 93 48 94 55
 41]","g ( x , y ) = \sqrt[3]{x - y} + \sqrt{| x + y |}"," g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }"
11605,[77 42 93 58 94 43 50 40 93 53 40 94 48 17 40 60 41 40 94 41 41 41],"h ( x , y ) = {x^{y + \frac{1}{y}}}"," h ( x , y ) = { x ^ { y + \frac { 1 } { y } } }"
11606,"[76 42 93 58 94 43 50 18 44 62 45 40 93 49 94 41 48 18 40 55 93 48 94 55
 41]","g ( x , y ) = \sqrt[3]{x - y} + \sqrt{| x + y |}"," g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }"
11607,"[75 42 93 58 94 43 50 75 52 40 60 41 42 93 94 43 48 75 52 40 61 41 42 17
 40 93 41 40 94 41 43]","f ( x , y ) = f_{1} ( x y ) + f_{2} ( \frac{x}{y} )"," f ( x , y ) = f _ { 1 } ( x y ) + f _ { 2 } ( \frac { x } { y } )"
11608,"[40 42 93 48 60 43 53 40 83 48 60 41 41 50 42 93 48 60 43 40 42 93 48 60
 43 53 40 83 41 41]",{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}, { ( x + 1 ) ^ { n + 1 } } = ( x + 1 ) { ( x + 1 ) ^ { n } }
11609,[29 52 40 83 35 10 41 17 40 60 41 40 40 83 53 40 85 41 41 41 50 69],\lim_{n \to \infty} \frac{1}{{n^{p}}} = 0, \lim _ { n \to \infty } \frac { 1 } { { n ^ { p } } } = 0
11610,[77 42 93 58 94 43 50 40 93 53 40 94 48 17 40 60 41 40 94 41 41 41],"h ( x , y ) = {x^{y + \frac{1}{y}}}"," h ( x , y ) = { x ^ { y + \frac { 1 } { y } } }"
11611,[77 42 93 58 94 43 50 40 93 53 40 94 48 17 40 60 41 40 94 41 41 41],"h ( x , y ) = {x^{y + \frac{1}{y}}}"," h ( x , y ) = { x ^ { y + \frac { 1 } { y } } }"
11612,[29 52 40 94 35 10 41 94 26 42 17 40 72 41 40 94 41 43 50 72],\lim_{y \to \infty} y \sin ( \frac{c}{y} ) = c, \lim _ { y \to \infty } y \sin ( \frac { c } { y } ) = c
11613,"[17 40 62 93 48 94 41 40 95 41 50 42 17 40 96 49 60 41 40 40 93 53 40 61
 41 41 48 40 94 53 40 61 41 41 41 43]",\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} ), \frac { 3 x + y } { z } = ( \frac { A - 1 } { { x ^ { 2 } } + { y ^ { 2 } } } )
11614,[40 42 60 48 93 43 53 40 87 41 41 24 60 48 87 93],{( 1 + x )^{r}} \geq 1 + r x, { ( 1 + x ) ^ { r } } \geq 1 + r x
11615,[29 52 40 83 35 10 41 17 40 60 41 40 40 83 53 40 85 41 41 41 50 69],\lim_{n \to \infty} \frac{1}{{n^{p}}} = 0, \lim _ { n \to \infty } \frac { 1 } { { n ^ { p } } } = 0
11616,"[ 82  42  71  49  70  43  23  31  29  78  89  88  52  40  70  41  53  40
  71  41  75  42  93  43  73  93  23 108  42  71  49  70  43]",m ( b - a ) \leq \int\limits_{a}^{b} f ( x ) dx \leq M ( b - a ), m ( b - a ) \leq \int \lim i t s _ { a } ^ { b } f ( x ) d x \leq M ( b - a )
11617,"[ 29  52  40  83  35  10  41  42  93  52  40  83  41  56  94  52  40  83
  41  43  50 107  52  40  60  41  56 107  52  40  61  41]",\lim_{n \to \infty} ( x_{n} / y_{n} ) = L_{1} / L_{2}, \lim _ { n \to \infty } ( x _ { n } / y _ { n } ) = L _ { 1 } / L _ { 2 }
11618,[29 52 40 83 35 10 41 17 40 60 41 40 40 83 53 40 85 41 41 41 50 69],\lim_{n \to \infty} \frac{1}{{n^{p}}} = 0, \lim _ { n \to \infty } \frac { 1 } { { n ^ { p } } } = 0
11619,[29 52 40 94 35 10 41 94 26 42 17 40 72 41 40 94 41 43 50 72],\lim_{y \to \infty} y \sin ( \frac{c}{y} ) = c, \lim _ { y \to \infty } y \sin ( \frac { c } { y } ) = c
11620,"[29 52 40 83 35 10 41 17 40 83 59 41 40 18 40 61 36 83 41 42 17 40 83 41
 40 74 41 43 41 50 60]",\lim_{n \to \infty} \frac{n !}{\sqrt{2 \pi n} ( \frac{n}{e} )} = 1, \lim _ { n \to \infty } \frac { n ! } { \sqrt { 2 \pi n } ( \frac { n } { e } ) } = 1
11621,"[18 44 83 45 40 17 40 83 48 60 41 40 40 42 83 49 60 43 53 40 61 41 41 41
 41]",\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}, \sqrt [ n ] { \frac { n + 1 } { { ( n - 1 ) ^ { 2 } } } }
11622,"[ 29  52  40  83  35  10  41  42  93  52  40  83  41  56  94  52  40  83
  41  43  50 107  52  40  60  41  56 107  52  40  61  41]",\lim_{n \to \infty} ( x_{n} / y_{n} ) = L_{1} / L_{2}, \lim _ { n \to \infty } ( x _ { n } / y _ { n } ) = L _ { 1 } / L _ { 2 }
11623,[29 52 40 93 35 72 41 75 42 93 43 50 75 42 72 43],\lim_{x \to c} f ( x ) = f ( c ), \lim _ { x \to c } f ( x ) = f ( c )
11624,"[62 40 70 53 40 61 41 41 40 71 53 40 62 41 41 48 64 40 70 53 40 62 41 41
 40 71 53 40 61 41 41 49 17 40 40 70 53 40 64 41 41 40 71 53 40 67 41 41
 41 40 61 41]",3 {a^{2}} {b^{3}} + 5 {a^{3}} {b^{2}} - \frac{{a^{5}} {b^{8}}}{2}, 3 { a ^ { 2 } } { b ^ { 3 } } + 5 { a ^ { 3 } } { b ^ { 2 } } - \frac { { a ^ { 5 } } { b ^ { 8 } } } { 2 }
11625,"[29 52 40 83 35 10 41 17 40 83 59 41 40 18 40 61 36 83 41 42 17 40 83 41
 40 74 41 43 41 50 60]",\lim_{n \to \infty} \frac{n !}{\sqrt{2 \pi n} ( \frac{n}{e} )} = 1, \lim _ { n \to \infty } \frac { n ! } { \sqrt { 2 \pi n } ( \frac { n } { e } ) } = 1
11626,"[30 52 40 83 50 60 41 53 40 10 41 40 42 17 40 30 52 40 78 50 60 41 53 40
 83 41 70 52 40 78 41 41 40 83 41 43 53 40 85 41 41 46 40 42 17 40 85 41
 40 85 49 60 41 43 53 40 85 41 41 30 52 40 83 50 60 41 53 40 10 41 40 70
 52 40 83 41 53 40 85 41 41]",\sum_{n = 1}^{\infty} {( \frac{\sum_{i = 1}^{n} a_{i}}{n} )^{p}} < {( \frac{p}{p - 1} )^{p}} \sum_{n = 1}^{\infty} {a_{n}^{p}}, \sum _ { n = 1 } ^ { \infty } { ( \frac { \sum _ { i = 1 } ^ { n } a _ { i } } { n } ) ^ { p } } < { ( \frac { p } { p - 1 } ) ^ { p } } \sum _ { n = 1 } ^ { \infty } { a _ { n } ^ { p } }
11627,"[40 65 53 40 65 41 41 19 40 65 53 40 61 41 41 50 40 42 40 65 53 40 93 41
 41 43 53 40 63 41 41]",{6^{6}} \cdot {6^{2}} = {( {6^{x}} )^{4}}, { 6 ^ { 6 } } \cdot { 6 ^ { 2 } } = { ( { 6 ^ { x } } ) ^ { 4 } }
11628,"[ 29  52  40  83  35  10  41  42  93  52  40  83  41  56  94  52  40  83
  41  43  50 107  52  40  60  41  56 107  52  40  61  41]",\lim_{n \to \infty} ( x_{n} / y_{n} ) = L_{1} / L_{2}, \lim _ { n \to \infty } ( x _ { n } / y _ { n } ) = L _ { 1 } / L _ { 2 }
11629,[29 52 40 93 35 72 41 75 42 93 43 50 75 42 72 43],\lim_{x \to c} f ( x ) = f ( c ), \lim _ { x \to c } f ( x ) = f ( c )
11630,"[18 44 62 45 40 17 40 40 95 53 40 62 41 41 48 61 41 40 18 40 95 41 48 60
 41 41]",\sqrt[3]{\frac{{z^{3}} + 2}{\sqrt{z} + 1}}, \sqrt [ 3 ] { \frac { { z ^ { 3 } } + 2 } { \sqrt { z } + 1 } }
11631,[30 52 40 83 50 69 41 53 40 10 41 75 52 40 83 41 42 93 43],\sum_{n = 0}^{\infty} f_{n} ( x ), \sum _ { n = 0 } ^ { \infty } f _ { n } ( x )
11632,"[55 31 29 78 89 88 52 40 70 41 53 40 71 41 75 42 93 43 73 93 55 23 31 29
 78 89 88 52 40 70 41 53 40 71 41 55 75 42 93 43 55 73 93]",| \int\limits_{a}^{b} f ( x ) dx | \leq \int\limits_{a}^{b} | f ( x ) | dx, | \int \lim i t s _ { a } ^ { b } f ( x ) d x | \leq \int \lim i t s _ { a } ^ { b } | f ( x ) | d x
11633,[29 52 40 93 35 72 41 75 42 93 43 50 75 42 72 43],\lim_{x \to c} f ( x ) = f ( c ), \lim _ { x \to c } f ( x ) = f ( c )
11634,[70 52 40 83 41 50 70 52 40 60 41 19 40 86 53 40 83 49 60 41 41],a_{n} = a_{1} \cdot {q^{n - 1}}, a _ { n } = a _ { 1 } \cdot { q ^ { n - 1 } }
11635,"[31 29 78 89 88 52 40 69 41 53 40 10 41 17 40 26 53 40 61 41 93 41 40 40
 93 53 40 61 41 41 41 73 93 50 17 40 36 41 40 61 41]",\int\limits_{0}^{\infty} \frac{\sin^{2} x}{{x^{2}}} dx = \frac{\pi}{2}, \int \lim i t s _ { 0 } ^ { \infty } \frac { \sin ^ { 2 } x } { { x ^ { 2 } } } d x = \frac { \pi } { 2 }
11636,[40 93 53 40 61 41 41 50 40 93 53 40 62 41 41],{x^{2}} = {x^{3}}, { x ^ { 2 } } = { x ^ { 3 } }
11637,"[75 42 93 58 94 43 50 75 52 40 60 41 42 93 94 43 48 75 52 40 61 41 42 17
 40 93 41 40 94 41 43]","f ( x , y ) = f_{1} ( x y ) + f_{2} ( \frac{x}{y} )"," f ( x , y ) = f _ { 1 } ( x y ) + f _ { 2 } ( \frac { x } { y } )"
11638,"[17 40 64 41 40 93 48 60 41 48 17 40 64 41 40 40 93 53 40 61 41 41 48 93
 41]",\frac{5}{x + 1} + \frac{5}{{x^{2}} + x}, \frac { 5 } { x + 1 } + \frac { 5 } { { x ^ { 2 } } + x }
11639,[88 52 40 83 41 50 30 52 40 80 50 60 41 53 40 83 41 70 52 40 80 41],s_{n} = \sum_{k = 1}^{n} a_{k}, s _ { n } = \sum _ { k = 1 } ^ { n } a _ { k }
11640,"[ 31  29  78  89  88  52  40  70  41  53  40  71  41  75  42  93  43  73
  93  50 101  42  71  43  49 101  42  70  43]",\int\limits_{a}^{b} f ( x ) dx = F ( b ) - F ( a ), \int \lim i t s _ { a } ^ { b } f ( x ) d x = F ( b ) - F ( a )
11641,"[31 29 78 89 88 52 40 62 41 53 40 65 41 31 29 78 89 88 52 40 61 41 53 40
 63 41 61 73 93 73 94 50 61 19 42 65 49 62 43 19 42 63 49 61 43 50 60 61]",\int\limits_{3}^{6} \int\limits_{2}^{4} 2 dx dy = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 12, \int \lim i t s _ { 3 } ^ { 6 } \int \lim i t s _ { 2 } ^ { 4 } 2 d x d y = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 1 2
11642,"[62 40 70 53 40 61 41 41 40 71 53 40 62 41 41 48 64 40 70 53 40 62 41 41
 40 71 53 40 61 41 41 49 17 40 40 70 53 40 64 41 41 40 71 53 40 67 41 41
 41 40 61 41]",3 {a^{2}} {b^{3}} + 5 {a^{3}} {b^{2}} - \frac{{a^{5}} {b^{8}}}{2}, 3 { a ^ { 2 } } { b ^ { 3 } } + 5 { a ^ { 3 } } { b ^ { 2 } } - \frac { { a ^ { 5 } } { b ^ { 8 } } } { 2 }
11643,"[40 42 93 48 60 43 53 40 83 48 60 41 41 50 42 93 48 60 43 40 42 93 48 60
 43 53 40 83 41 41]",{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}, { ( x + 1 ) ^ { n + 1 } } = ( x + 1 ) { ( x + 1 ) ^ { n } }
11644,"[30 52 40 83 50 60 41 53 40 10 41 42 71 52 40 83 41 49 71 52 40 83 48 60
 41 43]",\sum_{n = 1}^{\infty} ( b_{n} - b_{n + 1} ), \sum _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
11645,"[62 40 70 53 40 61 41 41 40 71 53 40 62 41 41 48 64 40 70 53 40 62 41 41
 40 71 53 40 61 41 41 49 17 40 40 70 53 40 64 41 41 40 71 53 40 67 41 41
 41 40 61 41]",3 {a^{2}} {b^{3}} + 5 {a^{3}} {b^{2}} - \frac{{a^{5}} {b^{8}}}{2}, 3 { a ^ { 2 } } { b ^ { 3 } } + 5 { a ^ { 3 } } { b ^ { 2 } } - \frac { { a ^ { 5 } } { b ^ { 8 } } } { 2 }
11646,"[42 17 40 60 41 40 40 82 53 40 61 41 41 41 49 17 40 62 82 41 40 83 41 48
 17 40 61 41 40 82 83 41 43]",( \frac{1}{{m^{2}}} - \frac{3 m}{n} + \frac{2}{m n} ), ( \frac { 1 } { { m ^ { 2 } } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
11647,"[30 52 40 83 50 60 41 53 40 10 41 42 71 52 40 83 41 49 71 52 40 83 48 60
 41 43]",\sum_{n = 1}^{\infty} ( b_{n} - b_{n + 1} ), \sum _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
11648,"[ 17  40  40 115  52  40  60  41  53  40  61  41  41  41  40  40 115  52
  40  61  41  53  40  61  41  41  41  50  17  40  40  70  52  40  60  41
  53  40  62  41  41  41  40  40  70  52  40  61  41  53  40  62  41  41
  41]",\frac{{T_{1}^{2}}}{{T_{2}^{2}}} = \frac{{a_{1}^{3}}}{{a_{2}^{3}}}, \frac { { T _ { 1 } ^ { 2 } } } { { T _ { 2 } ^ { 2 } } } = \frac { { a _ { 1 } ^ { 3 } } } { { a _ { 2 } ^ { 3 } } }
11649,"[31 29 78 89 88 52 40 62 41 53 40 65 41 31 29 78 89 88 52 40 61 41 53 40
 63 41 61 73 93 73 94 50 61 19 42 65 49 62 43 19 42 63 49 61 43 50 60 61]",\int\limits_{3}^{6} \int\limits_{2}^{4} 2 dx dy = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 12, \int \lim i t s _ { 3 } ^ { 6 } \int \lim i t s _ { 2 } ^ { 4 } 2 d x d y = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 1 2
11650,"[62 40 70 53 40 61 41 41 40 71 53 40 62 41 41 48 64 40 70 53 40 62 41 41
 40 71 53 40 61 41 41 49 17 40 40 70 53 40 64 41 41 40 71 53 40 67 41 41
 41 40 61 41]",3 {a^{2}} {b^{3}} + 5 {a^{3}} {b^{2}} - \frac{{a^{5}} {b^{8}}}{2}, 3 { a ^ { 2 } } { b ^ { 3 } } + 5 { a ^ { 3 } } { b ^ { 2 } } - \frac { { a ^ { 5 } } { b ^ { 8 } } } { 2 }
11651,[40 42 60 48 93 43 53 40 87 41 41 24 60 48 87 93],{( 1 + x )^{r}} \geq 1 + r x, { ( 1 + x ) ^ { r } } \geq 1 + r x
11652,[40 74 53 40 36 78 41 41 48 60 50 69],{e^{\pi i}} + 1 = 0, { e ^ { \pi i } } + 1 = 0
11653,"[17 40 62 93 48 94 41 40 95 41 50 42 17 40 96 49 60 41 40 40 93 53 40 61
 41 41 48 40 94 53 40 61 41 41 41 43]",\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} ), \frac { 3 x + y } { z } = ( \frac { A - 1 } { { x ^ { 2 } } + { y ^ { 2 } } } )
